0,1,2,3,4,5,6
flour,carrots,pasta,butter,cereal,juice,tea
juice,eggs,coffee,yogurt,,,
cereal,juice,cheese,,,,
chocolate,bananas,,,,,
yogurt,cereal,rice,beef,,,
juice,pepper,,,,,
sugar,tea,cheese,,,,
juice,sugar,soap,,,,
cookies,eggs,butter,apples,,,
oil,yogurt,cookies,toothpaste,salt,,
coffee,yogurt,beef,,,,
salt,tomatoes,onions,,,,
cheese,chocolate,bananas,tomatoes,bread,,
bread,juice,milk,coffee,potatoes,apples,chicken
bread,oil,,,,,
pasta,chocolate,cereal,,,,
potatoes,coffee,pepper,flour,butter,yogurt,
carrots,toothpaste,apples,milk,potatoes,pepper,butter
butter,apples,salt,juice,coffee,chicken,
yogurt,onions,rice,cheese,oil,sugar,butter
chicken,cereal,bananas,bread,,,
milk,rice,chicken,salt,bananas,,
rice,bread,shampoo,pasta,sugar,chocolate,
oil,salt,cheese,cereal,toothpaste,apples,pasta
bananas,pasta,onions,carrots,yogurt,chocolate,
milk,tomatoes,chicken,oil,onions,beef,tea
oil,salt,toothpaste,apples,chocolate,milk,
sugar,bananas,oil,soap,,,
pepper,sugar,bananas,toothpaste,,,
bananas,beef,,,,,
sugar,bananas,beef,carrots,,,
salt,pepper,chocolate,pasta,eggs,potatoes,rice
soap,apples,pasta,oil,toothpaste,,
salt,potatoes,,,,,
onions,milk,soap,,,,
chocolate,pepper,cookies,tomatoes,tea,bread,
toothpaste,bananas,chocolate,tea,rice,carrots,apples
beef,chocolate,cereal,chicken,rice,bread,apples
salt,carrots,,,,,
apples,toothpaste,cheese,pepper,yogurt,,
cookies,beef,onions,sugar,,,
cheese,tea,,,,,
bread,cheese,,,,,
milk,cookies,salt,carrots,coffee,toothpaste,tea
apples,chocolate,pepper,butter,shampoo,beef,
tomatoes,potatoes,shampoo,chocolate,,,
toothpaste,chocolate,beef,sugar,,,
carrots,apples,pepper,bread,tea,salt,flour
shampoo,toothpaste,onions,cheese,cereal,bananas,
chicken,coffee,beef,eggs,milk,chocolate,rice
milk,cereal,,,,,
pasta,bananas,,,,,
carrots,sugar,bananas,toothpaste,beef,,
potatoes,milk,yogurt,onions,tea,juice,toothpaste
juice,cookies,,,,,
coffee,beef,,,,,
cookies,pasta,yogurt,toothpaste,cheese,onions,
bananas,pepper,eggs,cereal,oil,butter,
pepper,carrots,onions,cereal,chocolate,apples,chicken
chicken,flour,onions,butter,apples,coffee,
pepper,eggs,bread,,,,
tomatoes,pepper,sugar,butter,,,
tea,onions,salt,,,,
coffee,beef,milk,tomatoes,,,
coffee,bread,,,,,
cereal,potatoes,tea,toothpaste,rice,cheese,
carrots,soap,,,,,
oil,chicken,coffee,,,,
chicken,onions,cookies,,,,
cereal,beef,eggs,pasta,,,
bread,sugar,coffee,yogurt,tomatoes,flour,soap
sugar,bananas,chicken,,,,
tomatoes,beef,oil,,,,
tomatoes,beef,,,,,
chicken,shampoo,bananas,salt,pasta,,
butter,salt,sugar,,,,
toothpaste,carrots,onions,tomatoes,tea,,
chicken,rice,beef,coffee,,,
eggs,soap,pasta,rice,flour,chocolate,juice
eggs,shampoo,milk,,,,
carrots,yogurt,cookies,bread,coffee,chicken,
juice,toothpaste,,,,,
flour,bread,sugar,,,,
apples,beef,,,,,
juice,cookies,tomatoes,beef,chicken,apples,
soap,milk,onions,sugar,bananas,yogurt,eggs
cheese,flour,tea,butter,chicken,,
cookies,coffee,tomatoes,soap,oil,,
flour,butter,potatoes,salt,juice,chicken,
cheese,salt,,,,,
chocolate,milk,carrots,,,,
cookies,chocolate,,,,,
beef,apples,salt,,,,
chicken,juice,soap,pasta,,,
butter,beef,onions,coffee,tomatoes,yogurt,
cereal,carrots,milk,chocolate,juice,toothpaste,potatoes
soap,oil,tea,milk,pasta,pepper,
beef,cookies,pasta,butter,,,
chicken,bread,soap,shampoo,cheese,apples,
juice,cookies,cheese,pasta,carrots,,
eggs,flour,chocolate,tomatoes,beef,cereal,bread
beef,onions,butter,soap,,,
apples,cheese,bananas,sugar,,,
carrots,coffee,oil,yogurt,eggs,butter,
pasta,butter,oil,pepper,flour,shampoo,tea
rice,tomatoes,juice,pepper,,,
carrots,salt,pepper,rice,potatoes,,
tomatoes,juice,milk,onions,salt,cookies,
chicken,pepper,eggs,,,,
eggs,tea,chocolate,coffee,cookies,,
shampoo,flour,coffee,eggs,apples,milk,carrots
shampoo,onions,salt,beef,pepper,,
beef,apples,chocolate,chicken,flour,cereal,
apples,flour,,,,,
eggs,soap,milk,cheese,butter,tea,
potatoes,tomatoes,tea,milk,rice,chocolate,salt
tomatoes,tea,pepper,potatoes,juice,milk,
rice,cookies,cereal,soap,potatoes,juice,eggs
butter,cheese,milk,tomatoes,juice,potatoes,
flour,pepper,toothpaste,tea,bananas,,
tea,milk,eggs,pasta,,,
potatoes,yogurt,cheese,,,,
rice,carrots,,,,,
shampoo,pepper,coffee,,,,
bananas,chocolate,,,,,
beef,pepper,toothpaste,,,,
cheese,oil,soap,bread,onions,carrots,
carrots,butter,tomatoes,,,,
juice,rice,milk,chocolate,shampoo,bananas,soap
cookies,chocolate,tomatoes,carrots,,,
yogurt,tea,,,,,
rice,cookies,yogurt,sugar,beef,,
toothpaste,rice,,,,,
beef,soap,salt,carrots,onions,bread,
cookies,toothpaste,,,,,
toothpaste,soap,rice,bread,milk,chicken,oil
carrots,yogurt,pasta,apples,rice,sugar,
pasta,potatoes,bananas,shampoo,milk,toothpaste,
sugar,toothpaste,bananas,cereal,,,
sugar,rice,chicken,tea,apples,shampoo,bananas
cookies,bread,tea,potatoes,soap,,
apples,chicken,flour,chocolate,oil,cookies,butter
potatoes,rice,cheese,butter,,,
oil,sugar,cereal,,,,
tea,onions,pasta,sugar,coffee,cereal,
bananas,cereal,toothpaste,,,,
apples,flour,carrots,onions,chicken,cereal,
eggs,tomatoes,pasta,,,,
potatoes,carrots,,,,,
butter,cookies,potatoes,,,,
butter,yogurt,beef,cookies,cereal,potatoes,pepper
butter,rice,,,,,
juice,oil,pepper,cereal,,,
tea,flour,milk,soap,bananas,,
tea,carrots,,,,,
butter,sugar,salt,apples,onions,potatoes,flour
rice,bread,chicken,,,,
cereal,onions,bread,sugar,,,
eggs,bananas,sugar,cereal,coffee,tomatoes,rice
pasta,chicken,,,,,
oil,tomatoes,tea,sugar,,,
oil,pepper,juice,potatoes,chocolate,rice,flour
oil,bread,sugar,flour,carrots,,
flour,yogurt,sugar,coffee,apples,,
pasta,eggs,shampoo,oil,salt,bread,
pasta,salt,,,,,
tea,butter,,,,,
tomatoes,pasta,coffee,,,,
juice,beef,flour,eggs,tomatoes,,
carrots,eggs,yogurt,,,,
bread,chocolate,,,,,
milk,chocolate,rice,,,,
oil,pasta,toothpaste,butter,sugar,,
potatoes,juice,butter,milk,bananas,,
yogurt,tea,pepper,chocolate,chicken,cereal,
carrots,rice,soap,apples,,,
eggs,shampoo,chicken,,,,
apples,bananas,,,,,
onions,coffee,butter,eggs,sugar,,
milk,sugar,bread,shampoo,cereal,bananas,tea
cookies,tomatoes,butter,bread,beef,,
oil,eggs,chocolate,carrots,potatoes,coffee,
juice,shampoo,eggs,cereal,,,
potatoes,sugar,carrots,bread,chocolate,cheese,butter
onions,pepper,bananas,coffee,tomatoes,salt,
tea,yogurt,bananas,oil,sugar,juice,toothpaste
bananas,eggs,carrots,soap,,,
eggs,milk,rice,flour,,,
chocolate,milk,sugar,coffee,juice,,
cereal,sugar,,,,,
shampoo,butter,,,,,
bread,oil,,,,,
tea,coffee,,,,,
tomatoes,carrots,butter,,,,
toothpaste,onions,flour,rice,,,
rice,beef,juice,chocolate,cheese,pasta,potatoes
onions,bananas,salt,coffee,shampoo,,
soap,tomatoes,bread,chocolate,eggs,coffee,sugar
juice,cheese,butter,tomatoes,bread,,
pasta,juice,yogurt,sugar,,,
bread,sugar,eggs,potatoes,tea,,
pepper,eggs,carrots,,,,
butter,carrots,chocolate,sugar,oil,pasta,
cheese,tomatoes,juice,yogurt,bread,shampoo,toothpaste
beef,coffee,juice,milk,chicken,apples,oil
carrots,oil,,,,,
cheese,tea,butter,flour,rice,bananas,
eggs,chicken,cheese,soap,,,
chocolate,pepper,rice,milk,onions,,
pepper,chicken,carrots,,,,
chicken,shampoo,toothpaste,onions,soap,pasta,
onions,pepper,bread,,,,
soap,chocolate,tea,carrots,,,
oil,onions,tea,beef,pasta,,
toothpaste,juice,eggs,milk,tea,salt,sugar
rice,sugar,coffee,tomatoes,,,
rice,yogurt,juice,apples,flour,tomatoes,
shampoo,sugar,,,,,
potatoes,toothpaste,cookies,milk,,,
bananas,potatoes,pepper,juice,shampoo,tomatoes,rice
rice,toothpaste,oil,chicken,salt,juice,bread
tea,soap,sugar,potatoes,oil,flour,toothpaste
cereal,eggs,,,,,
shampoo,soap,tomatoes,sugar,,,
chocolate,cereal,eggs,apples,potatoes,juice,beef
cheese,bananas,chicken,carrots,juice,tea,salt
cereal,tea,rice,,,,
milk,coffee,flour,,,,
eggs,yogurt,milk,potatoes,tea,tomatoes,sugar
rice,potatoes,bananas,,,,
sugar,pepper,potatoes,chicken,soap,salt,
cheese,cereal,cookies,eggs,,,
rice,juice,tea,cookies,,,
yogurt,oil,onions,rice,chicken,cookies,potatoes
oil,sugar,beef,salt,potatoes,cookies,
coffee,bananas,salt,pasta,butter,carrots,yogurt
salt,soap,pepper,juice,milk,pasta,cereal
pepper,beef,tea,coffee,rice,,
pepper,cereal,butter,cookies,rice,,
juice,chicken,eggs,cookies,,,
shampoo,yogurt,pasta,bread,eggs,,
carrots,flour,,,,,
flour,butter,sugar,,,,
tomatoes,rice,,,,,
carrots,shampoo,chocolate,oil,pepper,sugar,milk
coffee,salt,,,,,
beef,cookies,chocolate,chicken,soap,cereal,
chicken,carrots,juice,bread,,,
shampoo,tea,,,,,
bread,beef,onions,cookies,,,
butter,sugar,pepper,rice,eggs,cheese,
carrots,rice,,,,,
onions,cheese,toothpaste,chocolate,potatoes,,
juice,carrots,,,,,
tea,yogurt,salt,eggs,flour,pepper,
cereal,tea,eggs,pasta,flour,onions,rice
tomatoes,coffee,bread,,,,
chocolate,eggs,pasta,oil,flour,milk,cereal
pasta,beef,milk,cookies,salt,shampoo,
apples,bread,pasta,sugar,juice,bananas,soap
potatoes,oil,onions,chicken,coffee,sugar,chocolate
milk,yogurt,tomatoes,cookies,cereal,oil,
flour,eggs,tea,tomatoes,bananas,juice,
beef,chicken,cheese,soap,,,
beef,pepper,flour,bread,tea,chocolate,oil
cookies,salt,rice,,,,
milk,butter,eggs,bananas,tomatoes,,
cheese,tomatoes,,,,,
shampoo,cookies,pepper,apples,,,
shampoo,yogurt,flour,rice,,,
tomatoes,cheese,butter,rice,beef,cereal,
oil,eggs,,,,,
beef,milk,shampoo,,,,
salt,bread,pasta,shampoo,rice,eggs,
yogurt,toothpaste,,,,,
sugar,tea,butter,shampoo,tomatoes,bananas,eggs
butter,oil,,,,,
oil,flour,milk,carrots,,,
eggs,cookies,sugar,tomatoes,cereal,,
salt,cereal,pasta,soap,carrots,tomatoes,
soap,cereal,onions,sugar,oil,shampoo,bananas
rice,tomatoes,cereal,bananas,butter,coffee,milk
soap,oil,tomatoes,shampoo,cookies,toothpaste,chocolate
apples,juice,chocolate,oil,rice,,
beef,cheese,onions,pasta,yogurt,tomatoes,
cereal,soap,salt,tea,apples,oil,
coffee,cookies,,,,,
coffee,yogurt,oil,,,,
eggs,coffee,apples,flour,milk,,
chocolate,juice,milk,onions,oil,bread,tea
salt,juice,apples,bread,cereal,yogurt,
toothpaste,cereal,rice,onions,shampoo,potatoes,
eggs,pepper,chicken,tomatoes,butter,yogurt,flour
cheese,sugar,coffee,potatoes,,,
butter,eggs,,,,,
cookies,cereal,bananas,oil,milk,chocolate,
tomatoes,cereal,cheese,salt,pepper,coffee,yogurt
pasta,onions,,,,,
soap,pasta,,,,,
milk,rice,,,,,
pasta,tea,chicken,shampoo,pepper,flour,toothpaste
salt,onions,apples,eggs,,,
toothpaste,yogurt,tea,sugar,flour,pasta,
oil,apples,pepper,pasta,butter,,
carrots,coffee,beef,pepper,cereal,yogurt,toothpaste
toothpaste,tea,cereal,bread,beef,potatoes,
tomatoes,carrots,shampoo,toothpaste,eggs,rice,chicken
soap,cereal,bread,chicken,toothpaste,rice,potatoes
rice,sugar,salt,cookies,oil,yogurt,pepper
onions,cookies,potatoes,shampoo,,,
apples,eggs,flour,salt,cereal,chocolate,
salt,beef,bananas,,,,
soap,apples,potatoes,,,,
eggs,bananas,oil,rice,tea,soap,
eggs,salt,,,,,
chicken,onions,cereal,beef,butter,apples,flour
rice,juice,butter,flour,,,
carrots,juice,soap,tea,chicken,sugar,
chicken,onions,eggs,bread,toothpaste,cereal,
cereal,chocolate,onions,eggs,rice,beef,bananas
pepper,shampoo,butter,onions,oil,bread,
oil,butter,cheese,,,,
pasta,coffee,potatoes,,,,
salt,oil,coffee,sugar,rice,,
juice,oil,coffee,potatoes,soap,sugar,
rice,milk,coffee,tomatoes,butter,,
beef,soap,,,,,
salt,beef,apples,butter,tea,,
shampoo,bread,coffee,,,,
flour,cheese,tomatoes,pepper,toothpaste,carrots,
pasta,pepper,flour,eggs,chocolate,carrots,
flour,yogurt,pasta,soap,,,
yogurt,pasta,beef,tomatoes,,,
salt,eggs,cereal,,,,
juice,sugar,onions,salt,chocolate,soap,
bananas,chicken,chocolate,tomatoes,milk,,
cereal,bananas,eggs,pasta,apples,milk,flour
tea,carrots,,,,,
bananas,cereal,bread,soap,butter,,
oil,juice,butter,,,,
bread,cereal,chicken,pepper,shampoo,tea,
toothpaste,oil,tea,bread,,,
shampoo,onions,potatoes,toothpaste,yogurt,butter,salt
potatoes,rice,bananas,pepper,,,
bread,chocolate,pasta,tea,shampoo,,
oil,yogurt,cookies,tomatoes,chicken,cheese,tea
tea,cookies,yogurt,cereal,beef,,
beef,chocolate,toothpaste,chicken,tea,oil,
pepper,beef,,,,,
cereal,pasta,,,,,
tomatoes,coffee,pepper,chocolate,salt,,
beef,oil,chicken,onions,pasta,salt,
beef,tomatoes,pepper,onions,,,
salt,bananas,cheese,carrots,sugar,butter,
potatoes,apples,salt,tomatoes,pasta,toothpaste,shampoo
salt,cheese,,,,,
eggs,flour,milk,oil,,,
onions,cheese,oil,cereal,,,
sugar,chocolate,rice,,,,
chocolate,oil,cereal,soap,eggs,,
potatoes,flour,cheese,apples,sugar,juice,oil
toothpaste,cheese,sugar,,,,
cereal,bananas,,,,,
cereal,milk,cheese,,,,
sugar,cookies,tea,,,,
rice,eggs,tomatoes,cereal,potatoes,pasta,cheese
soap,potatoes,,,,,
carrots,coffee,sugar,butter,eggs,chicken,
chocolate,pasta,eggs,onions,cheese,shampoo,
chicken,soap,onions,cookies,sugar,eggs,
milk,cookies,chocolate,chicken,,,
chocolate,apples,shampoo,juice,rice,,
sugar,tea,carrots,apples,soap,flour,
oil,soap,toothpaste,pasta,carrots,chocolate,
tomatoes,oil,,,,,
soap,tomatoes,chocolate,coffee,shampoo,bread,
rice,coffee,tea,eggs,cereal,cheese,milk
beef,carrots,,,,,
oil,eggs,chocolate,tomatoes,milk,pepper,potatoes
flour,chicken,beef,milk,,,
oil,flour,,,,,
oil,carrots,cookies,potatoes,,,
shampoo,carrots,pepper,toothpaste,oil,,
onions,coffee,apples,yogurt,,,
chocolate,coffee,,,,,
milk,potatoes,oil,,,,
pasta,bread,,,,,
chicken,bread,tea,cheese,potatoes,,
milk,oil,,,,,
cookies,bread,tea,butter,pasta,salt,flour
coffee,cereal,,,,,
butter,oil,potatoes,milk,,,
chocolate,tomatoes,tea,beef,pepper,,
pepper,apples,chicken,bread,butter,cookies,eggs
onions,oil,chicken,bread,potatoes,,
shampoo,pasta,yogurt,tea,rice,,
chocolate,bananas,cheese,chicken,potatoes,tomatoes,shampoo
salt,coffee,toothpaste,tomatoes,juice,eggs,
chocolate,cereal,eggs,,,,
pepper,onions,,,,,
coffee,apples,cheese,onions,salt,shampoo,pepper
onions,potatoes,cereal,,,,
soap,tomatoes,toothpaste,apples,butter,,
rice,cookies,,,,,
chicken,milk,rice,potatoes,,,
pepper,chocolate,tea,chicken,,,
oil,bananas,,,,,
rice,salt,cookies,bananas,,,
apples,tomatoes,,,,,
butter,carrots,,,,,
chocolate,cookies,carrots,beef,toothpaste,coffee,apples
sugar,apples,carrots,,,,
coffee,milk,onions,sugar,,,
chocolate,bread,coffee,oil,,,
tomatoes,juice,onions,,,,
onions,flour,cookies,sugar,chocolate,pasta,milk
pepper,eggs,bread,tomatoes,shampoo,,
tea,yogurt,,,,,
potatoes,eggs,milk,bread,,,
rice,chicken,juice,,,,
salt,carrots,apples,rice,chocolate,,
bananas,shampoo,pepper,beef,juice,potatoes,coffee
coffee,potatoes,yogurt,cookies,rice,chocolate,oil
tea,potatoes,,,,,
coffee,juice,yogurt,flour,cookies,,
chocolate,eggs,juice,tea,shampoo,cheese,
rice,pepper,,,,,
coffee,beef,potatoes,bread,,,
potatoes,salt,butter,tomatoes,,,
potatoes,milk,coffee,butter,,,
cheese,bread,eggs,apples,,,
shampoo,cheese,,,,,
coffee,apples,tea,pasta,cheese,toothpaste,
pepper,eggs,,,,,
yogurt,potatoes,butter,onions,pasta,juice,
chocolate,eggs,milk,,,,
tomatoes,apples,salt,carrots,chocolate,,
juice,cheese,beef,potatoes,tomatoes,rice,flour
beef,carrots,salt,,,,
eggs,juice,apples,cookies,butter,tea,potatoes
milk,yogurt,beef,tea,cookies,,
rice,sugar,,,,,
tea,cereal,,,,,
potatoes,sugar,onions,toothpaste,salt,,
toothpaste,chicken,tea,,,,
milk,cereal,,,,,
potatoes,chocolate,onions,,,,
carrots,cereal,bananas,,,,
rice,butter,bread,pepper,potatoes,,
oil,chicken,milk,apples,,,
sugar,bread,apples,juice,bananas,,
cookies,pasta,rice,bananas,potatoes,,
soap,carrots,tomatoes,,,,
rice,eggs,chicken,bananas,butter,onions,tea
cheese,pasta,tomatoes,,,,
sugar,pepper,chocolate,,,,
rice,flour,shampoo,chicken,,,
butter,chocolate,apples,carrots,,,
tomatoes,flour,bananas,,,,
pasta,apples,bread,,,,
potatoes,pasta,oil,,,,
toothpaste,chicken,salt,potatoes,chocolate,cookies,
apples,butter,sugar,,,,
butter,cheese,coffee,tea,tomatoes,sugar,apples
flour,butter,soap,cheese,,,
oil,rice,juice,cereal,apples,,
soap,bananas,,,,,
tomatoes,bread,,,,,
toothpaste,flour,potatoes,,,,
pepper,cereal,eggs,bananas,,,
chicken,soap,bread,butter,eggs,apples,pepper
cereal,onions,pepper,,,,
rice,sugar,bananas,coffee,chocolate,juice,cookies
tomatoes,cookies,rice,onions,sugar,chocolate,bread
toothpaste,soap,eggs,chocolate,,,
toothpaste,carrots,beef,pasta,pepper,,
chicken,soap,pepper,yogurt,,,
shampoo,chicken,coffee,carrots,sugar,bananas,eggs
chocolate,yogurt,chicken,milk,toothpaste,pepper,bread
bread,potatoes,tomatoes,yogurt,cheese,,
soap,tea,cheese,,,,
chocolate,eggs,coffee,cookies,rice,bananas,
tomatoes,eggs,cheese,apples,coffee,soap,
cheese,pepper,salt,coffee,beef,,
yogurt,cereal,tea,toothpaste,,,
eggs,coffee,milk,oil,beef,cereal,pepper
cereal,sugar,beef,soap,coffee,,
tomatoes,eggs,yogurt,toothpaste,bread,,
bananas,chicken,cookies,onions,shampoo,salt,coffee
sugar,carrots,tea,cookies,toothpaste,chicken,
apples,coffee,chocolate,soap,bread,toothpaste,salt
juice,pasta,chicken,salt,beef,apples,
toothpaste,cereal,,,,,
tomatoes,pepper,butter,salt,cheese,rice,
salt,sugar,pepper,cookies,rice,,
chicken,tomatoes,cookies,cheese,rice,chocolate,bananas
pepper,beef,shampoo,pasta,cheese,cookies,
soap,butter,potatoes,tomatoes,oil,bread,
bread,pasta,apples,potatoes,,,
coffee,tea,eggs,,,,
pepper,milk,cheese,pasta,,,
onions,cereal,bananas,oil,pepper,,
cookies,juice,,,,,
carrots,chocolate,oil,soap,pasta,,
apples,salt,flour,bread,butter,eggs,sugar
pasta,oil,juice,chicken,toothpaste,,
flour,chicken,chocolate,rice,shampoo,milk,carrots
pasta,salt,eggs,oil,juice,tea,pepper
coffee,onions,chicken,flour,,,
butter,coffee,toothpaste,rice,sugar,cereal,cookies
coffee,rice,tomatoes,bananas,toothpaste,,
eggs,pepper,carrots,,,,
carrots,pasta,soap,,,,
coffee,cereal,onions,pepper,pasta,,
chicken,bread,tea,,,,
butter,juice,apples,coffee,,,
cheese,bananas,apples,cereal,pepper,toothpaste,
juice,sugar,,,,,
juice,salt,,,,,
yogurt,tomatoes,onions,pasta,soap,butter,
salt,onions,cereal,potatoes,,,
apples,coffee,beef,milk,onions,,
yogurt,tea,chicken,juice,cereal,,
soap,onions,tomatoes,bananas,salt,toothpaste,cereal
cereal,pasta,oil,milk,,,
eggs,salt,pasta,coffee,chocolate,yogurt,
cheese,apples,,,,,
cheese,chicken,,,,,
shampoo,carrots,,,,,
cookies,shampoo,pasta,chocolate,,,
pasta,cereal,potatoes,,,,
chicken,cheese,,,,,
bananas,flour,shampoo,cheese,yogurt,oil,rice
shampoo,cereal,,,,,
cereal,onions,apples,juice,,,
pepper,yogurt,potatoes,flour,,,
butter,toothpaste,tea,potatoes,pepper,,
beef,coffee,cookies,tomatoes,cereal,milk,
bread,coffee,toothpaste,shampoo,,,
chicken,onions,sugar,cereal,oil,milk,
flour,onions,eggs,,,,
rice,beef,carrots,,,,
flour,carrots,bread,toothpaste,apples,salt,
cheese,potatoes,eggs,,,,
carrots,cheese,cookies,salt,beef,soap,toothpaste
flour,soap,pepper,cereal,chicken,,
beef,bananas,toothpaste,cookies,carrots,soap,yogurt
apples,cheese,,,,,
cheese,cereal,,,,,
flour,oil,coffee,butter,,,
carrots,soap,,,,,
potatoes,butter,cereal,rice,carrots,,
chicken,flour,,,,,
toothpaste,salt,soap,,,,
yogurt,cookies,eggs,juice,,,
potatoes,flour,apples,cookies,cereal,bread,
pasta,apples,potatoes,cereal,milk,sugar,
rice,carrots,,,,,
salt,soap,oil,,,,
pepper,beef,cookies,coffee,tea,rice,
beef,soap,,,,,
salt,cheese,beef,tea,pepper,apples,eggs
potatoes,beef,salt,cereal,juice,yogurt,
salt,oil,onions,cheese,,,
flour,yogurt,cereal,,,,
potatoes,rice,tea,onions,tomatoes,pasta,coffee
soap,yogurt,potatoes,butter,chicken,rice,bananas
chicken,apples,onions,soap,,,
onions,soap,tea,beef,,,
onions,potatoes,toothpaste,tea,,,
cereal,bread,,,,,
oil,eggs,shampoo,,,,
apples,juice,sugar,coffee,,,
carrots,beef,oil,flour,pasta,,
onions,coffee,cereal,shampoo,carrots,cookies,
yogurt,apples,,,,,
eggs,chicken,,,,,
bread,tea,pepper,apples,cheese,cereal,oil
potatoes,flour,onions,,,,
butter,cookies,bread,juice,rice,,
shampoo,soap,coffee,flour,juice,chicken,
beef,juice,rice,oil,bread,,
salt,pepper,rice,onions,,,
coffee,potatoes,cereal,beef,carrots,cheese,
salt,bread,cereal,eggs,,,
juice,chicken,,,,,
cookies,juice,shampoo,bread,potatoes,tea,salt
milk,pepper,pasta,bananas,,,
sugar,bread,cheese,chocolate,soap,,
onions,apples,chocolate,milk,chicken,butter,cereal
tomatoes,butter,onions,tea,cereal,,
eggs,carrots,rice,,,,
onions,bananas,coffee,yogurt,,,
flour,cookies,tomatoes,bread,,,
yogurt,bread,milk,tomatoes,,,
coffee,bananas,,,,,
coffee,salt,rice,,,,
